#      date    value 
 2010-07-19 4.846645 
 2010-07-20 2.683885 
 2010-07-21 3.818829 
 2010-07-22 2.449702 
 2010-07-23  1.74592 
 2010-07-24 1.508578 
 2010-07-25 1.852092 
 2010-07-26 8.086181 
 2010-07-27 3.246689 
 2010-07-28 1.632484 
 2010-07-29  1.35437 
 2010-07-30 2.213738 
 2010-07-31 1.736106 
 2010-08-01 1.363249 
 2010-08-02 1.257303 
 2010-08-03 1.218483 
 2010-08-04  2.01538 
 2010-08-05 2.401862 
 2010-08-06 3.929033 
 2010-08-07 2.004058 
 2010-08-08 1.323074 
 2010-08-09 1.164511 
 2010-08-10 1.132851 
 2010-08-11 1.141641 
 2010-08-12 1.128678 
 2010-08-13 1.098355 
 2010-08-14 1.063441 
 2010-08-15 1.055092 
 2010-08-16 1.047533 
 2010-08-17 1.021376 
 2010-08-18 1.009556 
 2010-08-19 1.162359 
 2010-08-20 1.131986 
 2010-08-21    1.015 
 2010-08-22 3.071319 
 2010-08-23 2.394619 
 2010-08-24 1.269847 
 2010-08-25 1.003299 
 2010-08-26 0.9292734 
 2010-08-27 0.9032059 
 2010-08-28 0.8893125 
 2010-08-29 0.8785049 
 2010-08-30 0.8685215 
 2010-08-31 0.8588182 
 2010-09-01 0.8492514 
 2010-09-02 0.8994369 
 2010-09-03 1.045122 
 2010-09-04 2.604162 
 2010-09-05 1.681765 
 2010-09-06 1.035711 
 2010-09-07 0.8580627 
 2010-09-08 0.8034561 
 2010-09-09 0.782785 
 2010-09-10 0.7710295 
 2010-09-11 0.7623388 
 2010-09-12 0.8762395 
 2010-09-13 0.950236 
 2010-09-14 0.8229914 
 2010-09-15 0.7640519 
 2010-09-16 0.7511485 
 2010-09-17 0.7561669 
 2010-09-18 0.7392227 
 2010-09-19 0.7180756 
 2010-09-20 0.7223821 
 2010-09-21 0.7151632 
 2010-09-22 0.6947293 
 2010-09-23 1.092109 
 2010-09-24 1.857889 
 2010-09-25 1.077121 
 2010-09-26 0.8019655 
 2010-09-27 0.9285939 
 2010-09-28 0.860247 
 2010-09-29 0.7262228 
 2010-09-30 0.6715516 
 2010-10-01 0.6427163 
 2010-10-02 0.6282342 
 2010-10-03 0.6848667 
 2010-10-04 0.7856104 
 2010-10-05 0.6924432 
 2010-10-06 0.6339391 
 2010-10-07  0.60831 
 2010-10-08 0.5963834 
 2010-10-09 0.5892397 
 2010-10-10 0.5835368 
 2010-10-11 0.5784523 
 2010-10-12 0.5757843 
 2010-10-13 0.5766784 
 2010-10-14 0.5897078 
 2010-10-15 0.6580817 
 2010-10-16 0.6117427 
 2010-10-17 0.5728997 
 2010-10-18 0.5535432 
 2010-10-19 0.5534638 
 2010-10-20 0.6280212 
 2010-10-21 0.5953832 
 2010-10-22 0.5545951 
 2010-10-23 0.5331401 
 2010-10-24 0.5290801 
 2010-10-25 0.5544387 
 2010-10-26 0.5516118 
 2010-10-27 1.060204 
 2010-10-28 1.363943 
 2010-10-29 0.8227096 
 2010-10-30 0.6076515 
 2010-10-31 0.5303234 
 2010-11-01 0.5022298 
 2010-11-02 0.4895786 
 2010-11-03 0.5492238 
 2010-11-04 0.5389319 
 2010-11-05 0.5029466 
 2010-11-06 0.4862931 
 2010-11-07 0.4762131 
 2010-11-08 0.4678216 
 2010-11-09 0.4624369 
 2010-11-10 0.4584363 
 2010-11-11 0.4572292 
 2010-11-12 0.4618776 
 2010-11-13 0.4547509 
 2010-11-14 0.4548296 
 2010-11-15 0.4639366 
 2010-11-16 0.4522231 
 2010-11-17 0.5323803 
 2010-11-18  1.13501 
 2010-11-19 0.8397289 
 2010-11-20 0.6076825 
 2010-11-21 0.4997925 
 2010-11-22 0.4582729 
 2010-11-23 0.4889215 
 2010-11-24 0.9240382 
 2010-11-25 0.8144088 
 2010-11-26  6.03158 
 2010-11-27 5.859145 
 2010-11-28  1.44652 
 2010-11-29 0.7505032 
 2010-11-30 0.6715631 
 2010-12-01 3.207556 
 2010-12-02 1.571735 
 2010-12-03 0.749747 
 2010-12-04 0.5204282 
 2010-12-05 0.428113 
 2010-12-06 0.3891346 
 2010-12-07 0.3705696 
 2010-12-08 0.3599304 
 2010-12-09  0.35342 
 2010-12-10 0.3490662 
 2010-12-11 0.3542116 
 2010-12-12 0.4840538 
 2010-12-13 0.9617673 
 2010-12-14 0.6664377 
 2010-12-15 0.4718719 
 2010-12-16 0.3889469 
 2010-12-17 0.3535573 
 2010-12-18 0.3377454 
 2010-12-19 0.3299972 
 2010-12-20 0.3255505 
 2010-12-21 0.3224077 
 2010-12-22 0.319803 
 2010-12-23 0.3174383 
 2010-12-24 0.3152068 
 2010-12-25 0.3131189 
 2010-12-26 0.3111946 
 2010-12-27 0.3094071 
 2010-12-28 0.3076638 
 2010-12-29 0.3059297 
 2010-12-30 0.3041796 
 2010-12-31 3.336831 
 2011-01-01 11.13945 
 2011-01-02 5.076163 
 2011-01-03  1.67477 
 2011-01-04 0.7116814 
 2011-01-05 0.4476559 
 2011-01-06 0.3552529 
 2011-01-07 0.3195494 
 2011-01-08 0.3037339 
 2011-01-09 0.2966048 
 2011-01-10 0.2928515 
 2011-01-11 0.2911033 
 2011-01-12 0.2906379 
 2011-01-13 0.2908957 
 2011-01-14 0.2915306 
 2011-01-15 0.2923497 
 2011-01-16 0.2932549 
 2011-01-17 0.2941988 
 2011-01-18 0.2951871 
 2011-01-19 0.6409399 
 2011-01-20 1.486657 
 2011-01-21 0.769313 
 2011-01-22 0.4809649 
 2011-01-23 0.3739653 
 2011-01-24 0.3316678 
 2011-01-25 0.3148393 
 2011-01-26 0.3085868 
 2011-01-27 0.3067753 
 2011-01-28 0.3068058 
 2011-01-29 0.3075913 
 2011-01-30 0.4374021 
 2011-01-31 1.449875 
 2011-02-01 1.786784 
 2011-02-02 0.8607759 
 2011-02-03 0.5167846 
 2011-02-04 0.3951282 
 2011-02-05 0.3484783 
 2011-02-06 0.3304155 
 2011-02-07 0.3239174 
 2011-02-08 0.3221971 
 2011-02-09 0.3224327 
 2011-02-10 0.3234168 
 2011-02-11 0.3246592 
 2011-02-12 0.3259918 
 2011-02-13 0.3273574 
 2011-02-14 1.584478 
 2011-02-15 8.542426 
 2011-02-16 4.035104 
 2011-02-17 1.748576 
 2011-02-18 1.251216 
 2011-02-19 0.7939203 
 2011-02-20 0.5640846 
 2011-02-21 0.477648 
 2011-02-22 1.864851 
 2011-02-23 2.468611 
 2011-02-24 1.018991 
 2011-02-25 0.8586454 
 2011-02-26  1.03277 
 2011-02-27  0.73577 
 2011-02-28 0.6122778 
 2011-03-01  11.2116 
 2011-03-02 3.401585 
 2011-03-03 1.378176 
 2011-03-04 0.9517524 
 2011-03-05 1.194061 
 2011-03-06 16.48968 
 2011-03-07 5.016826 
 2011-03-08 2.476638 
 2011-03-09 2.985007 
 2011-03-10 5.071281 
 2011-03-11 4.850934 
 2011-03-12 5.258632 
 2011-03-13 6.332849 
 2011-03-14  6.64954 
 2011-03-15 7.524578 
 2011-03-16 14.10956 
 2011-03-17 8.415471 
 2011-03-18 7.737175 
 2011-03-19 9.965814 
 2011-03-20 11.19223 
 2011-03-21 9.387355 
 2011-03-22 9.175265 
 2011-03-23 8.598541 
 2011-03-24 8.418289 
 2011-03-25 8.344999 
 2011-03-26 7.968683 
 2011-03-27 7.809487 
 2011-03-28 7.692247 
 2011-03-29 7.457114 
 2011-03-30 7.314507 
 2011-03-31  7.22677 
 2011-04-01  7.03022 
 2011-04-02 6.777356 
 2011-04-03 7.178551 
 2011-04-04 6.477827 
 2011-04-05 12.65897 
 2011-04-06 9.553399 
 2011-04-07 6.085771 
 2011-04-08 5.759245 
 2011-04-09 5.935421 
 2011-04-10  11.1573 
 2011-04-11  8.72895 
 2011-04-12 8.702298 
 2011-04-13 6.969726 
 2011-04-14 5.147017 
 2011-04-15  4.92893 
 2011-04-16 5.453142 
 2011-04-17 9.009508 
 2011-04-18 5.319059 
 2011-04-19  4.71364 
 2011-04-20 20.11368 
 2011-04-21 35.27581 
 2011-04-22 6.764511 
 2011-04-23 10.08002 
 2011-04-24 19.56359 
 2011-04-25 12.37355 
 2011-04-26 15.56868 
 2011-04-27 16.21018 
 2011-04-28 16.72999 
 2011-04-29 19.12365 
 2011-04-30 12.58267 
 2011-05-01 13.17387 
 2011-05-02 15.25524 
 2011-05-03 30.04536 
 2011-05-04 30.16313 
 2011-05-05  14.8918 
 2011-05-06 14.51213 
 2011-05-07 20.53728 
 2011-05-08 16.52907 
 2011-05-09 20.78649 
 2011-05-10 14.19981 
 2011-05-11 13.95029 
 2011-05-12 13.44711 
 2011-05-13 13.30608 
 2011-05-14  12.6045 
 2011-05-15 11.79547 
 2011-05-16 12.21062 
 2011-05-17 10.91619 
 2011-05-18  10.3294 
 2011-05-19 9.911015 
 2011-05-20 9.481318 
 2011-05-21 9.066489 
 2011-05-22 9.075709 
 2011-05-23 8.918409 
 2011-05-24 8.897456 
 2011-05-25 9.272088 
 2011-05-26  9.86255 
 2011-05-27 34.97438 
 2011-05-28 9.794713 
 2011-05-29 8.571183 
 2011-05-30 16.66961 
 2011-05-31 7.096344 
 2011-06-01 6.534369 
 2011-06-02 6.532164 
 2011-06-03  6.48003 
 2011-06-04  6.47279 
 2011-06-05 6.255505 
 2011-06-06 17.76826 
 2011-06-07 7.719837 
 2011-06-08 5.873415 
 2011-06-09 5.622213 
 2011-06-10 5.476114 
 2011-06-11 5.537804 
 2011-06-12 7.515501 
 2011-06-13 5.761839 
 2011-06-14 4.943168 
 2011-06-15 4.757165 
 2011-06-16 11.62089 
 2011-06-17 7.881487 
 2011-06-18 4.592394 
 2011-06-19  6.01666 
 2011-06-20 7.244437 
 2011-06-21 12.07793 
 2011-06-22  7.94231 
 2011-06-23 9.143764 
 2011-06-24 4.370939 
 2011-06-25 3.700221 
 2011-06-26 3.578507 
 2011-06-27 7.320873 
 2011-06-28 7.720261 
 2011-06-29 5.042399 
 2011-06-30 3.510405 
 2011-07-01 3.300135 
 2011-07-02 9.177054 
 2011-07-03 6.293887 
 2011-07-04 8.420165 
 2011-07-05 5.012446 
 2011-07-06 3.721792 
 2011-07-07  3.06187 
 2011-07-08 2.950983 
 2011-07-09 4.152081 
 2011-07-10 3.215479 
 2011-07-11 2.834013 
 2011-07-12 2.741246 
 2011-07-13 2.700109 
 2011-07-14 3.178545 
 2011-07-15 2.739725 
 2011-07-16 2.556813 
 2011-07-17 2.488992 
 2011-07-18 2.435954 
 2011-07-19 2.382674 
 2011-07-20 2.332758 
 2011-07-21 2.285721 
 2011-07-22 2.239142 
 2011-07-23 2.191201 
 2011-07-24 2.148962 
 2011-07-25 2.193249 
 2011-07-26 2.368972 
 2011-07-27 2.099045 
 2011-07-28 1.998825 
 2011-07-29 1.946276 
 2011-07-30 1.950419 
 2011-07-31  2.97068 
 2011-08-01 2.169017 
 2011-08-02 1.860502 
 2011-08-03 1.776721 
 2011-08-04 1.858554 
 2011-08-05 1.814897 
 2011-08-06 1.699477 
 2011-08-07 1.649621 
 2011-08-08 1.966328 
 2011-08-09 1.781966 
 2011-08-10 1.720248 
 2011-08-11 1.669524 
 2011-08-12 1.564774 
 2011-08-13  1.49779 
 2011-08-14 1.480689 
 2011-08-15 5.544668 
 2011-08-16 2.421327 
 2011-08-17 0.8473944 
 2011-08-18 1.410164 
 2011-08-19 1.361277 
 2011-08-20 1.342726 
 2011-08-21 1.324462 
 2011-08-22 1.380043 
 2011-08-23 1.339326 
 2011-08-24 1.513941 
 2011-08-25 3.115937 
 2011-08-26 8.390381 
 2011-08-27   2.6793 
 2011-08-28 1.466966 
 2011-08-29 1.230452 
 2011-08-30 1.168492 
 2011-08-31  1.14338 
 2011-09-01 1.247499 
 2011-09-02 1.233788 
 2011-09-03 1.135176 
 2011-09-04 1.092725 
 2011-09-05 1.113222 
 2011-09-06  1.10694 
 2011-09-07 1.066701 
 2011-09-08 1.037041 
 2011-09-09  1.03475 
 2011-09-10  1.04838 
 2011-09-11 0.5848337 
 2011-09-12 0.5685283 
 2011-09-13 0.9734071 
 2011-09-14 0.9586949 
 2011-09-15 1.095742 
 2011-09-16 3.098228 
 2011-09-17 1.608665 
 2011-09-18 0.5682266 
 2011-09-19 0.990398 
 2011-09-20 3.802653 
 2011-09-21 2.510917 
 2011-09-22 0.571263 
 2011-09-23 1.087153 
 2011-09-24 3.957513 
 2011-09-25 0.5771099 
 2011-09-26 2.222488 
 2011-09-27 11.26225 
 2011-09-28 3.525985 
 2011-09-29 1.743618 
 2011-09-30 1.318461 
 2011-10-01 1.316635 
 2011-10-02 0.8445073 
 2011-10-03 0.7892609 
 2011-10-04 0.7678059 
 2011-10-05 0.7564852 
 2011-10-06 0.7481067 
 2011-10-07 0.7405708 
 2011-10-08 0.7332725 
 2011-10-09 0.762329 
 2011-10-10 1.112292 
 2011-10-11 0.7486711 
 2011-10-12 0.7195559 
 2011-10-13 0.9928996 
 2011-10-14 1.092896 
 2011-10-15 0.8417494 
 2011-10-16 0.7336944 
 2011-10-17 0.7913253 
 2011-10-18 2.855129 
 2011-10-19 3.448323 
 2011-10-20 4.815404 
 2011-10-21 2.140739 
 2011-10-22 1.030902 
 2011-10-23 0.7541754 
 2011-10-24 0.6802278 
 2011-10-25 0.6580533 
 2011-10-26 0.6917176 
 2011-10-27 0.7350226 
 2011-10-28 0.6764387 
 2011-10-29 0.6361018 
 2011-10-30 0.6156875 
 2011-10-31 0.650892 
 2011-11-01 0.6286326 
 2011-11-02 0.5992869 
 2011-11-03 0.8262581 
 2011-11-04 1.074769 
 2011-11-05 0.782243 
 2011-11-06 0.6377597 
 2011-11-07 0.6003588 
 2011-11-08 0.6348288 
 2011-11-09 1.764332 
 2011-11-10 1.563005 
 2011-11-11 0.860912 
 2011-11-12 0.6389825 
 2011-11-13 0.5680535 
 2011-11-14 2.367561 
 2011-11-15 5.212399 
 2011-11-16 1.978901 
 2011-11-17 0.9706025 
 2011-11-18 0.659309 
 2011-11-19 0.5562515 
 2011-11-20 0.525848 
 2011-11-21 0.5473562 
 2011-11-22  1.44593 
 2011-11-23 2.466285 
 2011-11-24 1.095597 
 2011-11-25 0.6828218 
 2011-11-26 0.726294 
 2011-11-27 2.610214 
 2011-11-28 3.147617 
 2011-11-29 2.663763 
 2011-11-30 1.835932 
 2011-12-01 1.005863 
 2011-12-02 0.6813681 
 2011-12-03 0.6137117 
 2011-12-04 1.558543 
 2011-12-05 3.222945 
 2011-12-06 2.320824 
 2011-12-07 1.082835 
 2011-12-08 0.7387333 
 2011-12-09 0.6960368 
 2011-12-10 0.7111447 
 2011-12-11 0.6812217 
 2011-12-12 0.6874399 
 2011-12-13 0.7263289 
 2011-12-14 1.758412 
 2011-12-15 10.15941 
 2011-12-16 3.134478 
 2011-12-17 1.396864 
 2011-12-18 1.144699 
 2011-12-19 1.218408 
 2011-12-20 3.189742 
 2011-12-21 3.961475 
 2011-12-22  2.48049 
 2011-12-23 2.444001 
