#      date    value 
 2016-07-16 1.995921 
 2016-07-17 1.031672 
 2016-07-18 0.8284582 
 2016-07-19  5.71885 
 2016-07-20 3.931041 
 2016-07-21 1.383154 
 2016-07-22 0.8933831 
 2016-07-23 0.9797586 
 2016-07-24 0.9617329 
 2016-07-25 0.7837423 
 2016-07-26 0.7918846 
 2016-07-27 0.8640602 
 2016-07-28 0.8846987 
 2016-07-29 0.750995 
 2016-07-30 0.6969547 
 2016-07-31 0.6891374 
 2016-08-01 0.6613454 
 2016-08-02 0.6570231 
 2016-08-03 0.6521963 
 2016-08-04 0.6501524 
 2016-08-05 0.643673 
 2016-08-06 0.638832 
 2016-08-07 0.6632019 
 2016-08-08 0.7245322 
 2016-08-09 0.6741883 
 2016-08-10 0.6423175 
 2016-08-11 0.6337877 
 2016-08-12 0.6581282 
 2016-08-13 0.6378241 
 2016-08-14 0.9836937 
 2016-08-15 3.074951 
 2016-08-16 8.704377 
 2016-08-17 8.689197 
 2016-08-18 2.449893 
 2016-08-19  1.06679 
 2016-08-20 0.7540385 
 2016-08-21 0.7948302 
 2016-08-22 1.298907 
 2016-08-23 0.8964726 
 2016-08-24 0.6925734 
 2016-08-25 1.116219 
 2016-08-26 2.175781 
 2016-08-27 1.924972 
 2016-08-28  2.42115 
 2016-08-29 1.355825 
 2016-08-30 0.8324822 
 2016-08-31 0.6856443 
 2016-09-01 1.216732 
 2016-09-02 0.898678 
 2016-09-03 0.6839104 
 2016-09-04 0.6016056 
 2016-09-05 0.571246 
 2016-09-06 0.5608474 
 2016-09-07 0.5613219 
 2016-09-08 0.5547248 
 2016-09-09 0.6891834 
 2016-09-10 1.331756 
 2016-09-11 2.886247 
 2016-09-12 1.999085 
 2016-09-13 0.956721 
 2016-09-14 0.6703545 
 2016-09-15 0.5828987 
 2016-09-16 0.579247 
 2016-09-17 0.9028018 
 2016-09-18 6.869278 
 2016-09-19 3.010188 
 2016-09-20 1.094353 
 2016-09-21 0.6952803 
 2016-09-22 0.5791621 
 2016-09-23 0.5400981 
 2016-09-24 0.5264747 
 2016-09-25 0.519699 
 2016-09-26 0.5170488 
 2016-09-27 0.7049226 
 2016-09-28 0.7666922 
 2016-09-29 1.086434 
 2016-09-30 1.247235 
 2016-10-01 1.131249 
 2016-10-02 1.784289 
 2016-10-03 1.019697 
 2016-10-04 0.678512 
 2016-10-05 0.5588223 
 2016-10-06 0.515605 
 2016-10-07 0.5032706 
 2016-10-08 0.4992734 
 2016-10-09 0.4963839 
 2016-10-10 0.4951817 
 2016-10-11 0.4939526 
 2016-10-12 0.554121 
 2016-10-13 0.6086082 
